SPD,ANG,TRQ,ANOMALY
0.0,-5.0,2442.0,0
0.0,-6.0,2441.0,0
0.0,-5.0,2443.0,0
0.0,-6.0,2442.0,0
0.0,-6.0,2443.0,0
0.0,-6.0,2440.0,0
0.0,-5.0,2441.0,0
0.0,-6.0,2439.0,0
0.0,-6.0,2444.0,0
0.0,-3.0,2442.0,0
0.0,1.0,2442.0,0
0.0,7.0,2443.0,0
0.0,10.0,2442.0,0
0.0,9.0,2443.0,0
0.0,4.0,2442.0,0
0.0,-3.0,2443.0,0
0.0,-13.0,2443.0,0
0.0,-20.0,2442.0,0
0.0,-25.0,2442.0,0
0.0,-29.0,2442.0,0
0.0,-33.0,2441.0,0
0.0,-39.0,2441.0,0
0.0,-46.0,2441.0,0
0.0,-53.0,2442.0,0
0.0,-59.0,2442.0,0
0.0,-64.0,2404.0,0
0.0,-67.0,2380.0,0
0.0,-60.0,2411.0,0
0.0,-58.0,2442.0,0
0.0,-62.0,2427.0,0
0.0,-62.0,2412.0,0
0.0,-57.0,2442.0,0
0.0,-63.0,2417.0,0
0.0,-67.0,2390.0,0
0.0,-64.0,2376.0,0
0.0,-63.0,2387.0,0
0.0,-69.0,2372.0,0
0.0,-70.0,2406.0,0
0.0,-70.0,2373.0,0
0.0,-70.0,2374.0,0
0.0,-71.0,2383.0,0
0.0,-72.0,2405.0,0
0.0,-71.0,2407.0,0
0.0,-72.0,2419.0,0
0.0,-73.0,2427.0,0
0.0,-74.0,2479.0,0
0.0,-76.0,2483.0,0
0.0,-77.0,2494.0,0
0.0,-80.0,2568.0,0
0.0,-81.0,2542.0,0
0.0,-82.0,2557.0,0
0.0,-84.0,2607.0,0
0.0,-85.0,2646.0,0
0.0,-86.0,2652.0,0
0.0,-89.0,2654.0,0
0.0,-90.0,2696.0,0
0.0,-91.0,2741.0,0
0.0,-93.0,2804.0,0
0.0,-95.0,2797.0,0
0.0,-97.0,2883.0,0
0.0,-98.0,2871.0,0
0.0,-100.0,2892.0,0
0.0,-101.0,2971.0,0
0.0,-103.0,2987.0,0
0.0,-104.0,3027.0,0
0.0,-105.0,3010.0,0
0.0,-108.0,3042.0,0
0.0,-111.0,3048.0,0
0.0,-111.0,3041.0,0
0.0,-115.0,3048.0,0
0.0,-115.0,3051.0,0
0.0,-116.0,3050.0,0
0.0,-118.0,3057.0,0
0.0,-120.0,3055.0,0
0.0,-121.0,3049.0,0
0.0,-122.0,3054.0,0
0.0,-123.0,3054.0,0
0.0,-123.0,3055.0,0
0.0,-124.0,3056.0,0
0.0,-125.0,3056.0,0
0.0,-124.0,3053.0,0
0.0,-124.0,3048.0,0
0.0,-125.0,3051.0,0
0.0,-127.0,3056.0,0
0.0,-128.0,3053.0,0
0.0,-128.0,3055.0,0
0.0,-129.0,3039.0,0
0.0,-129.0,3056.0,0
0.0,-131.0,3046.0,0
0.0,-132.0,3058.0,0
0.0,-133.0,3049.0,0
0.0,-131.0,3054.0,0
0.0,-132.0,3052.0,0
0.0,-132.0,3049.0,0
0.0,-134.0,3047.0,0
0.0,-132.0,3055.0,0
0.0,-132.0,3053.0,0
0.0,-134.0,3052.0,0
0.0,-131.0,3052.0,0
0.0,-129.0,3048.0,0
0.0,-130.0,3038.0,0
0.0,-130.0,3053.0,0
0.0,-129.0,3052.0,0
0.0,-128.0,3052.0,0
0.0,-127.0,3055.0,0
0.0,-126.0,3056.0,0
0.0,-126.0,3052.0,0
0.0,-125.0,3053.0,0
0.0,-124.0,3054.0,0
0.0,-125.0,3055.0,0
0.0,-124.0,3055.0,0
0.0,-121.0,3055.0,0
0.0,-119.0,3054.0,0
0.0,-120.0,3048.0,0
0.0,-119.0,3051.0,0
0.0,-118.0,3054.0,0
0.0,-118.0,3043.0,0
0.0,-118.0,3049.0,0
0.0,-116.0,3048.0,0
0.0,-116.0,3047.0,0
0.0,-115.0,3029.0,0
0.0,-115.0,3037.0,0
0.0,-115.0,3047.0,0
0.0,-112.0,3018.0,0
0.0,-113.0,3047.0,0
0.0,-113.0,3045.0,0
0.0,-112.0,3011.0,0
0.0,-112.0,3040.0,0
0.0,-112.0,3035.0,0
0.0,-112.0,3025.0,0
0.0,-110.0,3001.0,0
0.0,-112.0,3027.0,0
0.0,-112.0,3017.0,0
0.0,-108.0,2963.0,0
0.0,-109.0,2976.0,0
0.0,-109.0,3008.0,0
0.0,-110.0,3006.0,0
0.0,-108.0,2984.0,0
0.0,-108.0,2992.0,0
0.0,-108.0,2987.0,0
0.0,-108.0,2934.0,0
0.0,-108.0,3001.0,0
0.0,-104.0,2937.0,0
0.0,-107.0,2987.0,0
0.0,-105.0,2926.0,0
0.0,-105.0,2971.0,0
0.0,-106.0,3004.0,0
0.0,-106.0,2989.0,0
0.0,-105.0,2987.0,0
0.0,-105.0,2983.0,0
0.0,-105.0,3006.0,0
0.0,-105.0,3027.0,0
0.0,-104.0,3007.0,0
0.0,-104.0,3002.0,0
0.0,-103.0,2951.0,0
0.0,-103.0,2996.0,0
0.0,-103.0,3020.0,0
0.0,-99.0,2987.0,0
0.0,-91.0,2850.0,0
0.0,-81.0,2615.0,0
0.0,-80.0,2640.0,0
0.0,-75.0,2567.0,0
0.0,-73.0,2556.0,0
0.0,-70.0,2442.0,0
0.0,-69.0,2523.0,0
0.0,-68.0,2424.0,0
0.0,-66.0,2439.0,0
0.0,-65.0,2417.0,0
0.0,-63.0,2408.0,0
0.0,-62.0,2376.0,0
0.0,-62.0,2375.0,0
0.0,-59.0,2437.0,0
0.0,-54.0,2441.0,0
0.0,-51.0,2442.0,0
0.0,-44.0,2443.0,0
0.0,-31.0,2442.0,0
0.0,-15.0,2442.0,0
0.0,-2.0,2442.0,0
0.0,11.0,2442.0,0
0.0,23.0,2442.0,0
0.0,33.0,2442.0,0
0.0,50.0,2443.0,0
0.0,78.0,2542.0,0
0.0,79.0,2509.0,0
0.0,77.0,2389.0,0
0.0,85.0,2679.0,0
0.0,83.0,2650.0,0
0.0,88.0,2683.0,0
0.0,88.0,2692.0,0
0.0,92.0,2697.0,0
0.0,93.0,2697.0,0
0.0,96.0,2697.0,0
0.0,98.0,2669.0,0
0.0,101.0,2667.0,0
0.0,105.0,2697.0,0
0.0,110.0,2697.0,0
0.0,111.0,2697.0,0
0.0,115.0,2696.0,0
0.0,116.0,2697.0,0
0.0,118.0,2697.0,0
0.0,120.0,2697.0,0
0.0,120.0,2696.0,0
0.0,124.0,2698.0,0
0.0,125.0,2697.0,0
0.0,126.0,2697.0,0
0.0,124.0,2697.0,0
0.0,127.0,2697.0,0
0.0,123.0,2697.0,0
0.0,121.0,2697.0,0
0.0,117.0,2697.0,0
0.0,113.0,2697.0,0
0.0,112.0,2697.0,0
0.0,111.0,2694.0,0
0.0,110.0,2694.0,0
0.0,110.0,2696.0,0
0.0,108.0,2683.0,0
0.0,107.0,2697.0,0
0.0,105.0,2681.0,0
0.0,107.0,2678.0,0
0.0,103.0,2696.0,0
0.0,102.0,2697.0,0
0.0,101.0,2693.0,0
0.0,100.0,2691.0,0
0.0,100.0,2674.0,0
0.0,97.0,2693.0,0
0.0,97.0,2680.0,0
0.0,95.0,2672.0,0
0.0,95.0,2685.0,0
0.0,93.0,2677.0,0
0.0,90.0,2697.0,0
0.0,89.0,2600.0,0
0.0,79.0,2643.0,0
0.0,76.0,2642.0,0
0.0,72.0,2569.0,0
0.0,71.0,2520.0,0
0.0,69.0,2462.0,0
0.0,69.0,2499.0,0
0.0,67.0,2564.0,0
0.0,65.0,2474.0,0
0.0,66.0,2437.0,0
0.0,64.0,2551.0,0
0.0,64.0,2501.0,0
0.0,63.0,2420.0,0
0.0,59.0,2479.0,0
0.0,60.0,2442.0,0
0.0,62.0,2387.0,0
0.0,58.0,2448.0,0
0.0,55.0,2443.0,0
0.0,55.0,2441.0,0
0.0,49.0,2443.0,0
0.0,43.0,2442.0,0
0.0,36.0,2442.0,0
0.0,30.0,2442.0,0
0.0,24.0,2442.0,0
0.0,19.0,2442.0,0
0.0,14.0,2442.0,0
0.0,7.0,2442.0,0
0.0,-3.0,2441.0,0
0.0,-10.0,2442.0,0
0.0,-13.0,2442.0,0
0.0,-14.0,2443.0,0
0.0,-15.0,2441.0,0
0.0,-7.0,2443.0,0
0.0,0.0,2442.0,0
0.0,3.0,2442.0,0
0.0,5.0,2442.0,0
0.0,6.0,2443.0,0
0.0,6.0,2442.0,0
0.0,5.0,2440.0,0
0.0,6.0,2441.0,0
0.0,5.0,2441.0,0
0.0,-1.0,2443.0,0
0.0,-4.0,2442.0,0
0.0,-7.0,2440.0,0
0.0,-7.0,2442.0,0
0.0,-8.0,2442.0,0
0.0,-8.0,2441.0,0
0.0,-9.0,2442.0,0
0.0,-9.0,2441.0,0
0.0,-1.0,2442.0,0
0.0,2.0,2442.0,0
0.0,8.0,2442.0,0
0.0,9.0,2442.0,0
0.0,10.0,2443.0,0
0.0,12.0,2442.0,0
0.0,11.0,2443.0,0
0.0,12.0,2441.0,0
0.0,13.0,2442.0,0
0.0,13.0,2443.0,0
0.0,14.0,2441.0,0
0.0,15.0,2442.0,0
0.0,-14.0,2442.0,0
0.0,-21.0,2442.0,0
0.0,-19.0,2442.0,0
0.0,-12.0,2442.0,0
0.0,-10.0,2443.0,0
0.0,-10.0,2441.0,0
0.0,-7.0,2441.0,0
0.0,-4.0,2443.0,0
0.0,-3.0,2440.0,0
0.0,26.0,2442.0,0
0.0,42.0,2443.0,0
0.0,56.0,2442.0,0
0.0,69.0,2473.0,0
0.0,67.0,2500.0,0
0.0,59.0,2487.0,0
0.0,71.0,2610.0,0
0.0,68.0,2505.0,0
0.0,66.0,2520.0,0
0.0,72.0,2523.0,0
0.0,72.0,2400.0,0
0.0,76.0,2675.0,0
0.0,76.0,2641.0,0
0.0,75.0,2580.0,0
0.0,75.0,2665.0,0
0.0,75.0,2594.0,0
0.0,78.0,2666.0,0
0.0,79.0,2647.0,0
0.0,81.0,2685.0,0
0.0,83.0,2687.0,0
0.0,84.0,2697.0,0
0.0,85.0,2697.0,0
0.0,86.0,2695.0,0
0.0,87.0,2695.0,0
0.0,87.0,2689.0,0
0.0,91.0,2692.0,0
0.0,91.0,2697.0,0
0.0,94.0,2655.0,0
0.0,94.0,2697.0,0
0.0,96.0,2680.0,0
0.0,97.0,2640.0,0
0.0,100.0,2688.0,0
0.0,104.0,2697.0,0
0.0,106.0,2670.0,0
0.0,106.0,2697.0,0
0.0,105.0,2682.0,0
0.0,104.0,2690.0,0
0.0,106.0,2676.0,0
0.0,107.0,2681.0,0
0.0,110.0,2691.0,0
0.0,111.0,2696.0,0
0.0,115.0,2697.0,0
0.0,120.0,2698.0,0
0.0,128.0,2697.0,0
0.0,130.0,2697.0,0
0.0,132.0,2697.0,0
0.0,135.0,2697.0,0
0.0,137.0,2697.0,0
0.0,138.0,2697.0,0
0.0,139.0,2697.0,0
0.0,137.0,2698.0,0
0.0,135.0,2698.0,0
0.0,136.0,2697.0,0
0.0,133.0,2697.0,0
0.0,131.0,2697.0,0
0.0,129.0,2698.0,0
0.0,128.0,2698.0,0
0.0,127.0,2698.0,0
0.0,125.0,2698.0,0
0.0,119.0,2697.0,0
0.0,119.0,2698.0,0
0.0,118.0,2698.0,0
0.0,117.0,2698.0,0
0.0,114.0,2697.0,0
0.0,112.0,2695.0,0
0.0,109.0,2697.0,0
0.0,108.0,2697.0,0
0.0,108.0,2651.0,0
0.0,107.0,2698.0,0
0.0,105.0,2669.0,0
0.0,105.0,2691.0,0
0.0,105.0,2688.0,0
0.0,106.0,2682.0,0
0.0,105.0,2695.0,0
0.0,106.0,2694.0,0
0.0,106.0,2693.0,0
0.0,106.0,2688.0,0
0.0,106.0,2690.0,0
0.0,109.0,2698.0,0
0.0,110.0,2698.0,0
0.0,108.0,2698.0,0
0.0,111.0,2698.0,0
0.0,112.0,2698.0,0
0.0,113.0,2698.0,0
0.5,113.0,2697.0,0
0.5,113.0,2698.0,0
0.5,116.0,2697.0,0
0.5,117.0,2698.0,0
0.5,119.0,2698.0,0
0.5,120.0,2698.0,0
0.5,120.0,2697.0,0
0.5,122.0,2695.0,0
0.5,122.0,2698.0,0
0.5,123.0,2698.0,0
0.5,122.0,2697.0,0
0.5,124.0,2698.0,0
0.5,123.0,2697.0,0
0.5,121.0,2698.0,0
0.5,125.0,2698.0,0
0.5,126.0,2698.0,0
0.5,127.0,2698.0,0
0.5,128.0,2697.0,0
0.5,130.0,2698.0,0
0.5,129.0,2698.0,0
0.5,132.0,2697.0,0
0.5,132.0,2698.0,0
0.5,131.0,2697.0,0
0.5,134.0,2698.0,0
0.5,133.0,2698.0,0
1.0,133.0,2698.0,0
1.0,134.0,2698.0,0
1.0,133.0,2697.0,0
1.0,132.0,2697.0,0
1.0,134.0,2697.0,0
1.0,128.0,2697.0,0
1.0,127.0,2697.0,0
1.0,125.0,2698.0,0
1.0,123.0,2698.0,0
1.0,121.0,2698.0,0
1.0,120.0,2697.0,0
1.0,118.0,2697.0,0
1.0,118.0,2698.0,0
1.0,119.0,2697.0,0
1.0,114.0,2697.0,0
1.0,113.0,2697.0,0
1.0,112.0,2697.0,0
1.0,109.0,2698.0,0
1.0,107.0,2698.0,0
1.0,107.0,2682.0,0
1.0,106.0,2683.0,0
1.0,105.0,2697.0,0
1.0,103.0,2697.0,0
1.0,101.0,2697.0,0
1.0,100.0,2686.0,0
1.0,98.0,2689.0,0
1.0,96.0,2697.0,0
1.0,95.0,2698.0,0
1.0,92.0,2677.0,0
1.5,89.0,2682.0,0
1.5,82.0,2654.0,0
1.5,78.0,2690.0,0
1.5,76.0,2647.0,0
1.5,73.0,2450.0,0
1.5,72.0,2564.0,0
1.5,71.0,2560.0,0
1.5,70.0,2520.0,0
1.5,70.0,2446.0,0
1.5,68.0,2389.0,0
1.5,68.0,2381.0,0
1.5,68.0,2548.0,0
1.5,68.0,2522.0,0
1.5,72.0,2527.0,0
1.5,74.0,2461.0,0
1.5,75.0,2538.0,0
1.5,76.0,2640.0,0
1.5,77.0,2606.0,0
1.5,77.0,2665.0,0
1.5,77.0,2681.0,0
1.5,76.0,2663.0,0
1.5,75.0,2656.0,0
1.5,74.0,2555.0,0
1.5,72.0,2415.0,0
1.5,70.0,2490.0,0
1.5,69.0,2545.0,0
1.5,68.0,2476.0,0
1.5,65.0,2479.0,0
1.5,62.0,2465.0,0
1.5,58.0,2442.0,0
1.5,57.0,2442.0,0
1.5,56.0,2442.0,0
1.5,47.0,2442.0,0
1.5,35.0,2443.0,0
1.5,24.0,2442.0,0
1.5,18.0,2442.0,0
1.5,17.0,2441.0,0
1.5,16.0,2441.0,0
1.5,15.0,2442.0,0
1.5,14.0,2442.0,0
2.0,14.0,2441.0,0
2.0,13.0,2441.0,0
2.0,13.0,2443.0,0
2.0,11.0,2442.0,0
2.0,9.0,2442.0,0
2.0,8.0,2442.0,0
2.0,7.0,2442.0,0
2.0,6.0,2442.0,0
2.0,5.0,2442.0,0
2.0,2.0,2442.0,0
2.0,0.0,2441.0,0
2.0,-5.0,2441.0,0
2.0,-9.0,2442.0,0
2.0,-15.0,2441.0,0
2.0,-19.0,2440.0,0
2.0,-26.0,2442.0,0
2.0,-32.0,2443.0,0
2.0,-37.0,2442.0,0
2.0,-43.0,2442.0,0
2.0,-48.0,2442.0,0
2.0,-51.0,2442.0,0
2.0,-54.0,2442.0,0
2.0,-57.0,2442.0,0
2.0,-58.0,2442.0,0
2.0,-62.0,2411.0,0
2.0,-67.0,2390.0,0
2.0,-67.0,2392.0,0
2.0,-60.0,2398.0,0
2.0,-59.0,2442.0,0
2.0,-65.0,2384.0,0
2.0,-66.0,2378.0,0
2.0,-66.0,2374.0,0
2.0,-67.0,2380.0,0
2.0,-69.0,2388.0,0
2.0,-71.0,2401.0,0
2.0,-75.0,2384.0,0
2.0,-75.0,2420.0,0
2.0,-73.0,2377.0,0
2.0,-75.0,2423.0,0
2.0,-77.0,2403.0,0
2.0,-77.0,2376.0,0
2.0,-77.0,2416.0,0
2.0,-78.0,2407.0,0
2.0,-82.0,2490.0,0
2.0,-82.0,2453.0,0
2.0,-83.0,2473.0,0
2.0,-85.0,2497.0,0
2.0,-86.0,2511.0,0
2.0,-90.0,2661.0,0
2.0,-88.0,2579.0,0
2.0,-91.0,2669.0,0
2.0,-91.0,2677.0,0
2.0,-91.0,2604.0,0
2.0,-94.0,2681.0,0
2.0,-93.0,2673.0,0
2.0,-95.0,2748.0,0
2.0,-96.0,2725.0,0
2.0,-94.0,2733.0,0
2.0,-97.0,2796.0,0
2.0,-95.0,2736.0,0
2.0,-95.0,2745.0,0
2.0,-97.0,2801.0,0
2.0,-96.0,2771.0,0
2.0,-96.0,2748.0,0
2.0,-97.0,2762.0,0
2.0,-95.0,2799.0,0
2.0,-96.0,2770.0,0
2.0,-94.0,2786.0,0
2.0,-95.0,2792.0,0
2.0,-94.0,2818.0,0
2.0,-95.0,2803.0,0
2.0,-96.0,2801.0,0
2.0,-95.0,2806.0,0
2.0,-96.0,2794.0,0
2.0,-97.0,2805.0,0
2.0,-100.0,2910.0,0
2.0,-101.0,2937.0,0
2.0,-100.0,2867.0,0
2.0,-99.0,2799.0,0
2.0,-102.0,2872.0,0
2.0,-100.0,2851.0,0
2.0,-102.0,2883.0,0
2.0,-102.0,2905.0,0
2.0,-100.0,2818.0,0
2.0,-102.0,2866.0,0
2.0,-101.0,2873.0,0
2.0,-102.0,2913.0,0
2.0,-104.0,2912.0,0
2.0,-106.0,2923.0,0
2.0,-106.0,2933.0,0
2.0,-106.0,2926.0,0
2.0,-103.0,2832.0,0
2.0,-103.0,2865.0,0
2.0,-102.0,2882.0,0
2.0,-101.0,2812.0,0
2.0,-101.0,2835.0,0
2.0,-98.0,2731.0,0
2.0,-98.0,2779.0,0
2.0,-96.0,2724.0,0
2.0,-95.0,2688.0,0
2.0,-94.0,2703.0,0
2.0,-91.0,2670.0,0
2.0,-92.0,2724.0,0
2.0,-91.0,2671.0,0
2.0,-90.0,2656.0,0
2.0,-89.0,2679.0,0
2.0,-89.0,2663.0,0
2.0,-88.0,2662.0,0
2.0,-88.0,2648.0,0
2.0,-86.0,2592.0,0
2.0,-86.0,2608.0,0
2.0,-87.0,2597.0,0
2.0,-86.0,2612.0,0
2.0,-85.0,2561.0,0
2.0,-86.0,2575.0,0
2.0,-85.0,2550.0,0
2.0,-84.0,2564.0,0
2.0,-84.0,2505.0,0
2.0,-84.0,2522.0,0
2.0,-84.0,2533.0,0
2.0,-84.0,2549.0,0
2.0,-84.0,2532.0,0
2.0,-83.0,2536.0,0
2.0,-82.0,2528.0,0
2.0,-82.0,2545.0,0
2.0,-82.0,2554.0,0
2.0,-82.0,2543.0,0
2.0,-82.0,2520.0,0
2.0,-81.0,2524.0,0
2.0,-81.0,2480.0,0
2.0,-82.0,2484.0,0
2.0,-80.0,2480.0,0
2.0,-80.0,2481.0,0
2.0,-80.0,2520.0,0
2.0,-80.0,2541.0,0
2.0,-80.0,2548.0,0
2.0,-79.0,2530.0,0
2.0,-80.0,2469.0,0
2.0,-80.0,2507.0,0
2.0,-79.0,2502.0,0
2.0,-79.0,2537.0,0
2.0,-80.0,2539.0,0
2.0,-79.0,2501.0,0
2.0,-79.0,2542.0,0
2.0,-80.0,2517.0,0
2.0,-80.0,2489.0,0
2.0,-80.0,2492.0,0
2.0,-80.0,2473.0,0
2.0,-81.0,2512.0,0
2.0,-80.0,2514.0,0
2.0,-81.0,2514.0,0
2.0,-80.0,2522.0,0
2.0,-79.0,2522.0,0
2.0,-80.0,2542.0,0
2.0,-80.0,2537.0,0
2.0,-82.0,2568.0,0
2.0,-81.0,2546.0,0
2.0,-80.0,2574.0,0
2.0,-81.0,2557.0,0
2.0,-81.0,2499.0,0
2.0,-84.0,2537.0,0
2.0,-84.0,2566.0,0
2.0,-86.0,2602.0,0
2.0,-86.0,2613.0,0
2.0,-87.0,2617.0,0
2.0,-89.0,2680.0,0
2.0,-87.0,2634.0,0
2.0,-90.0,2699.0,0
2.0,-90.0,2711.0,0
2.0,-91.0,2744.0,0
2.0,-93.0,2688.0,0
2.0,-94.0,2723.0,0
2.0,-94.0,2762.0,0
2.0,-96.0,2780.0,0
2.0,-97.0,2790.0,0
2.0,-98.0,2797.0,0
2.0,-99.0,2843.0,0
2.0,-99.0,2830.0,0
2.0,-104.0,2910.0,0
2.0,-103.0,2862.0,0
2.0,-104.0,2925.0,0
2.0,-106.0,2929.0,0
2.0,-106.0,2934.0,0
2.0,-109.0,2994.0,0
2.0,-108.0,2985.0,0
2.0,-107.0,2962.0,0
2.0,-109.0,2983.0,0
2.0,-107.0,2941.0,0
2.0,-108.0,2922.0,0
2.0,-108.0,2971.0,0
2.0,-104.0,2907.0,0
