SPd,ANG,TRQ,ANOMALY
0,-4,2442,0
0,-5,2442,0
0,-4,2441,0
0,-4,2443,0
0,-5,2441,0
0,-5,2443,0
0,-2,2442,0
0,0,2442,0
0,-2,2441,0
0,4,2442,0
0,9,2442,0
0,16,2442,0
0,19,2442,0
0,19,2441,0
0,20,2442,0
0,18,2442,0
0,7,2442,0
0,-14,2442,0
0,-41,2442,0
0,-65,2458,0
0,-74,2491,0
0,-65,2395,0
0,-72,2442,0
0,-77,2478,0
0,-76,2469,0
0,-79,2567,0
0,-80,2574,0
0,-80,2536,0
0,-84,2580,0
0,-86,2615,0
0,-86,2600,0
0,-89,2637,0
0,-90,2639,0
0,-91,2727,0
0,-92,2769,0
0,-92,2715,0
0,-94,2776,0
0,-94,2785,0
0,-93,2825,0
0,-94,2861,0
0,-92,2810,0
0,-83,2594,0
0,-74,2510,0
0,-68,2380,0
0,-63,2388,0
0,-57,2419,0
0,-52,2441,0
0,-43,2442,0
0,-29,2442,0
0,-10,2441,0
0,12,2442,0
0,34,2442,0
0,55,2442,0
0,76,2561,0
0,74,2437,0
0,63,2491,0
0,73,2526,0
0,77,2583,0
0,77,2539,0
0,78,2561,0
0,79,2566,0
0,79,2585,0
0,79,2616,0
0,79,2592,0
0,79,2645,0
0,77,2579,0
0,76,2595,0
0,75,2602,0
0,71,2454,0
0,58,2461,0
0,46,2442,0
0,33,2442,0
0,15,2441,0
0,-6,2442,0
0,-27,2443,0
0,-44,2442,0
0,-54,2442,0
0,-60,2489,0
0,-65,2476,0
0,-66,2420,0
0,-62,2396,0
0,-60,2445,0
0,-65,2406,0
0,-71,2388,0
0,-75,2409,0
0,-75,2416,0
0,-74,2432,0
0,-75,2434,0
0,-76,2488,0
0,-75,2490,0
0,-75,2495,0
0,-74,2498,0
0,-69,2405,0
0,-58,2409,0
0,-19,2442,0
0,8,2442,0
0,37,2442,0
0,63,2421,0
0,78,2579,0
0,60,2470,0
0,55,2441,0
0,63,2505,0
0,70,2435,0
0,67,2526,0
0,69,2499,0
0,72,2475,0
0,72,2503,0
0,70,2560,0
0,69,2439,0
0,60,2572,0
0,42,2442,0
0,-11,2442,0
0,-13,2442,0
0,-7,2442,0
0,-12,2442,0
0,-18,2441,0
0,-17,2443,0
0,-15,2442,0
0,-8,2442,0
0,-3,2442,0
0,-1,2442,0
0,-6,2443,0
0,-6,2441,0
0,-9,2442,0
0,-5,2444,0
0,-16,2442,0
0,-20,2442,0
0,-20,2443,0
0,-21,2442,0
0,-23,2442,0
0,-25,2442,0
0,-26,2442,0
0,-24,2442,0
0,-22,2441,0
0,-18,2442,0
0,-22,2442,0
0,-27,2442,0
0,-28,2442,0
0,-31,2442,0
0,-32,2442,0
0,-32,2443,0
0,-32,2441,0
0,-30,2443,0
0,-31,2441,0
0,-30,2442,0
0,-30,2441,0
0,-17,2441,0
0,-14,2443,0
0,-17,2442,0
0,2,2442,0
0,-33,2442,0
0,-38,2442,0
0,-37,2442,0
0,-34,2442,0
0,-23,2441,0
0,-20,2441,0
0,-28,2443,0
0,-26,2441,0
0,-36,2442,0
0,-40,2442,0
0,-40,2443,0
0,-42,2442,0
0,-39,2442,0
0,-36,2443,0
0,-26,2443,0
0,23,2442,0
0,31,2442,0
0,39,2442,0
0,47,2442,0
0,61,2442,0
0,71,2546,0
0,67,2567,0
0,70,2623,0
0,74,2662,0
0,71,2457,0
0,73,2389,0
0,73,2402,0
0,74,2543,0
0,74,2409,0
0,74,2588,0
0,74,2618,0
0,74,2463,0
0,74,2611,0
0,74,2639,0
0,73,2607,0
0,72,2511,0
0,68,2587,0
0.5,66,2512,0
0.5,61,2506,0
0.5,59,2392,0
0.5,58,2442,0
0.5,55,2442,0
0.5,51,2442,0
0.5,45,2442,0
0.5,43,2442,0
0.5,42,2442,0
0.5,42,2443,0
0.5,39,2442,0
0.5,30,2442,0
0.5,20,2442,0
0.5,18,2443,0
0.5,18,2442,0
0,24,2442,0
0,30,2442,0
0,44,2441,0
0,46,2441,0
0,49,2442,0
0,45,2441,0
0,40,2442,0
0,32,2442,0
0,16,2441,0
0,11,2442,0
0,5,2442,0
1,7,2441,0
1,10,2441,0
1,14,2443,0
1,17,2443,0
1,20,2443,0
1,23,2442,0
1,24,2442,0
1,25,2442,0
1,19,2441,0
1,15,2442,0
1,18,2442,0
1,24,2443,0
1,26,2442,0
1,28,2442,0
1,31,2442,0
1,35,2442,0
1.5,36,2442,0
1.5,37,2442,0
1.5,35,2442,0
1.5,39,2442,0
1.5,43,2441,0
1.5,48,2442,0
1.5,54,2442,0
1.5,60,2442,0
1.5,64,2474,0
1.5,64,2473,0
1.5,65,2508,0
1.5,69,2550,0
1.5,71,2565,0
2,71,2555,0
2,72,2449,0
2,72,2398,0
2,71,2533,0
2,73,2615,0
2,73,2569,0
2,73,2500,0
2,72,2525,0
2,72,2426,0
2,72,2517,0
2,71,2564,0
2,68,2495,0
2,60,2555,0
2,55,2442,0
2,56,2443,0
2,54,2441,0
2,46,2442,0
2,38,2442,0
2,32,2442,0
2,26,2442,0
2,22,2441,0
2,18,2442,0
2,13,2443,0
2,7,2442,0
2,0,2442,0
2,-9,2442,0
2,-17,2442,0
2,-27,2442,0
2,-39,2442,0
2,-50,2442,0
2,-58,2442,0
2,-64,2443,0
2,-67,2414,0
2,-61,2398,0
2,-54,2442,0
2,-56,2442,0
1.5,-68,2372,0
1.5,-70,2382,0
1.5,-63,2388,0
1.5,-59,2442,0
1.5,-65,2373,0
1.5,-69,2388,0
1.5,-68,2375,0
1.5,-65,2382,0
1.5,-64,2394,0
1.5,-66,2374,0
1.5,-67,2386,0
1.5,-67,2389,0
1.5,-67,2402,0
1.5,-65,2381,0
1.5,-64,2382,0
1.5,-64,2385,0
1.5,-64,2386,0
1.5,-64,2393,0
1,-63,2381,0
1,-62,2388,0
1,-61,2417,0
1,-61,2377,0
1,-61,2379,0
