SPD,ANG,TRQ,ANOMALY
38,-68,2385,0
38,-69,2375,0
38,-69,2376,0
38,-68,2402,0
38,-67,2389,0
38,-66,2382,0
38,-65,2433,0
38,-64,2457,0
38,-64,2462,0
38,-64,2463,0
38,-64,2452,0
38,-65,2442,0
38,-64,2413,0
38,-65,2407,0
38,-66,2421,0
38,-67,2435,0
38,-67,2465,0
38,-67,2450,0
38,-67,2419,0
38,-67,2396,0
38,-67,2398,0
38,-67,2393,0
38,-66,2418,0
38,-67,2455,0
38,-67,2453,0
38,-66,2453,0
38,-67,2458,0
38,-67,2446,0
38,-69,2417,0
38,-69,2419,0
38,-70,2392,0
38,-68,2399,0
38,-67,2401,0
38,-68,2414,0
38,-69,2415,0
38,-69,2408,0
38,-69,2394,0
38,-70,2393,0
38,-70,2388,0
38,-71,2388,0
38,-72,2393,0
38,-73,2380,0
38,-75,2374,0
38,-75,2384,0
38,-75,2386,0
38,-75,2390,0
38,-75,2388,0
38,-74,2374,0
38,-72,2388,0
38,-72,2385,0
38,-73,2381,0
38,-73,2378,0
38,-73,2379,0
38,-73,2377,0
38,-73,2382,0
38,-73,2375,0
38,-73,2385,0
38,-74,2389,0
38,-74,2384,0
38,-74,2383,0
38,-73,2373,0
38,-73,2374,0
38.5,-72,2377,0
38.5,-71,2390,0
38.5,-69,2409,0
38.5,-66,2411,0
38.5,-66,2393,0
38.5,-65,2430,0
38.5,-64,2423,0
38.5,-64,2468,0
38.5,-64,2466,0
38.5,-64,2457,0
38.5,-64,2451,0
38.5,-64,2445,0
38.5,-63,2445,0
38.5,-63,2436,0
38.5,-63,2427,0
38.5,-63,2442,0
38.5,-60,2442,0
38.5,-60,2441,0
38.5,-57,2442,0
38.5,-56,2441,0
38.5,-54,2442,0
38.5,-51,2443,0
38.5,-48,2441,0
38.5,-44,2442,0
38.5,-40,2442,0
38.5,-36,2441,0
38.5,-20,2442,0
38.5,-13,2442,0
38.5,-11,2441,0
38.5,-9,2441,0
38.5,-6,2442,0
38.5,-6,2443,0
38.5,0,2442,0
38.5,4,2442,0
38.5,6,2443,0
38.5,6,2442,0
38.5,7,2442,0
38.5,8,2442,0
38.5,11,2442,0
38.5,15,2442,0
38.5,17,2442,0
38.5,18,2442,0
38.5,19,2442,0
38.5,20,2442,0
38.5,21,2442,0
38.5,22,2442,0
38.5,23,2442,0
38.5,25,2442,0
38.5,26,2441,0
38.5,29,2442,0
38.5,35,2442,0
38.5,40,2442,0
38.5,45,2442,0
38.5,47,2442,0
38.5,48,2442,0
38.5,48,2443,0
38.5,46,2442,0
38.5,44,2442,0
38.5,49,2442,0
38.5,51,2442,0
38.5,51,2443,0
38.5,52,2442,0
38.5,53,2442,0
38.5,54,2442,0
38.5,55,2442,0
38.5,57,2442,0
38.5,58,2442,0
38.5,59,2442,0
38.5,60,2443,0
38.5,59,2441,0
38.5,60,2442,0
38.5,56,2442,0
38.5,50,2441,0
38.5,50,2442,0
38.5,61,2442,0
38.5,63,2442,0
38.5,63,2460,0
38.5,65,2414,0
38.5,67,2413,0
38.5,65,2431,0
38.5,66,2409,0
38.5,66,2423,0
38.5,65,2464,0
38.5,66,2473,0
38.5,66,2458,0
38.5,66,2469,0
38.5,66,2407,0
38.5,67,2399,0
38.5,67,2459,0
38.5,67,2497,0
38.5,67,2515,0
38.5,67,2486,0
38.5,68,2490,0
38.5,69,2415,0
38.5,69,2422,0
38.5,62,2423,0
38.5,62,2442,0
38.5,66,2475,0
38.5,67,2471,0
38.5,67,2472,0
38.5,66,2509,0
38.5,68,2499,0
38.5,68,2449,0
38.5,68,2452,0
38.5,68,2454,0
38.5,68,2412,0
38.5,65,2511,0
38.5,64,2494,0
38.5,64,2477,0
38.5,65,2456,0
38,65,2443,0
38,66,2409,0
38,65,2412,0
38,65,2464,0
38,65,2505,0
38,65,2494,0
38,66,2441,0
38,65,2407,0
38,65,2430,0
38.5,66,2466,0
38.5,65,2515,0
38.5,65,2479,0
38.5,65,2439,0
38.5,65,2393,0
38,47,2442,0
38,45,2442,0
38,42,2442,0
38,38,2442,0
38,34,2442,0
38,31,2442,0
38,26,2442,0
38,21,2442,0
38,19,2442,0
38,15,2442,0
38,7,2442,0
38,3,2442,0
38,1,2442,0
38,-4,2442,0
38,-6,2442,0
38,-9,2442,0
38,-13,2442,0
38,-17,2442,0
38,-19,2442,0
38,-20,2442,0
38,-21,2442,0
38,-22,2442,0
38,-24,2441,0
38,-25,2443,0
38,-29,2442,0
38,-31,2442,0
38,-34,2442,0
38,-40,2442,0
38,-44,2442,0
38,-50,2442,0
38,-55,2442,0
38,-58,2442,0
38,-60,2442,0
38,-59,2442,0
38,-60,2441,0
38,-62,2442,0
38,-63,2442,0
38,-66,2459,0
38,-66,2447,0
38,-66,2427,0
38,-64,2409,0
38,-63,2410,0
38,-65,2416,0
38,-69,2437,0
38,-70,2413,0
38,-69,2391,0
38,-62,2388,0
38,-64,2442,0
38,-72,2377,0
38,-71,2384,0
38,-66,2379,0
38,-62,2395,0
38,-73,2394,0
38,-77,2396,0
38,-72,2398,0
38,-65,2395,0
38,-75,2377,0
